crop,days,price
soybean,11,4926.54
soybean,12,4935.06
soybean,13,4831.06
soybean,14,4981.6
soybean,15,5035.78
soybean,16,5039.02
soybean,17,5022.58
soybean,18,5067.73
soybean,19,4990.19
soybean,20,5095.96
soybean,21,5155.18
soybean,22,5016.29
soybean,23,5145.75
soybean,24,5103.57
soybean,25,5159.49
soybean,26,5288.39
soybean,27,5210.51
soybean,28,5204.13
soybean,29,5357.44
soybean,30,5356.55
mustard,1,5399.33
mustard,2,5499.91
mustard,3,5457.65
mustard,4,5604.47
mustard,5,5496.12
mustard,6,5528.78
mustard,7,5533.22
mustard,8,5565.41
mustard,9,5764.22
mustard,10,5673.34
mustard,11,5780.52
mustard,12,5770.95
mustard,13,5752.78
mustard,14,5893.88
mustard,15,5834.15
mustard,16,5954.71
mustard,17,5833.6
mustard,18,5988.08
mustard,19,5971.92
mustard,20,5932.67
mustard,21,6100.04
mustard,22,6084.65
mustard,23,6000.48
mustard,24,6000.43
mustard,25,6084.43
mustard,26,6052.9
mustard,27,6119.6
mustard,28,6304.98
mustard,29,6250.24
mustard,30,6254.7
cotton,1,7192.9
cotton,2,7151.94
cotton,3,7197.47
cotton,4,7265.04
cotton,5,7284.19
cotton,6,7221.94
cotton,7,7213.91
cotton,8,7416.9
cotton,9,7458.22
cotton,10,7281.84
cotton,11,7410.08
cotton,12,7415.99
cotton,13,7448.13
cotton,14,7415.26
cotton,15,7457.1
cotton,16,7632.59
cotton,17,7546.25
cotton,18,7709.48
cotton,19,7640.58
cotton,20,7634.7
cotton,21,7891.44
cotton,22,7720.34
cotton,23,7734.13
cotton,24,7977.82
cotton,25,7761.94
cotton,26,8017.43
cotton,27,8010.86
cotton,28,8043.84
cotton,29,7947.83
cotton,30,8179.3
sugarcane,1,317.11
sugarcane,2,312.73
sugarcane,3,323.91
sugarcane,4,326.97
sugarcane,5,321.31
sugarcane,6,326.61
sugarcane,7,321.38
sugarcane,8,326.46
sugarcane,9,326.43
sugarcane,10,334.73
sugarcane,11,337.61
sugarcane,12,333.11
sugarcane,13,332.09
sugarcane,14,331.52
sugarcane,15,342.84
sugarcane,16,338.79
sugarcane,17,342.42
sugarcane,18,342.08
sugarcane,19,350.0
sugarcane,20,348.71
sugarcane,21,352.19
sugarcane,22,351.09
sugarcane,23,353.02
sugarcane,24,352.56
sugarcane,25,356.17
sugarcane,26,356.5
sugarcane,27,354.2
sugarcane,28,361.4
sugarcane,29,366.64
sugarcane,30,362.34
tomato,1,1490.18
tomato,2,1503.67
tomato,3,1536.02
tomato,4,1559.52
tomato,5,1527.68
tomato,6,1540.74
tomato,7,1568.87
tomato,8,1532.06
tomato,9,1578.39
tomato,10,1600.84
tomato,11,1611.91
tomato,12,1565.66
tomato,13,1575.58
tomato,14,1593.68
tomato,15,1585.1
tomato,16,1629.28
tomato,17,1630.6
tomato,18,1643.92
tomato,19,1620.46
tomato,20,1627.39
tomato,21,1683.07
tomato,22,1691.58
tomato,23,1647.41
tomato,24,1670.02
tomato,25,1657.91
tomato,26,1713.11
tomato,27,1713.2
tomato,28,1683.4
tomato,29,1689.68
tomato,30,1706.57
onion,1,2047.94
onion,2,2026.17
onion,3,1990.36
onion,4,2005.5
onion,5,2031.71
onion,6,2045.73
onion,7,2105.38
onion,8,2109.86
onion,9,2083.47
onion,10,2131.33
onion,11,2138.28
onion,12,2109.15
onion,13,2091.15
onion,14,2163.91
onion,15,2186.55
onion,16,2175.57
onion,17,2199.67
onion,18,2181.97
onion,19,2196.17
onion,20,2192.8
onion,21,2236.46
onion,22,2248.11
onion,23,2254.46
onion,24,2252.62
onion,25,2269.57
onion,26,2225.2
onion,27,2255.34
onion,28,2246.41
onion,29,2315.0
onion,30,2305.55
potato,1,1187.97
potato,2,1206.35
potato,3,1223.49
potato,4,1217.39
potato,5,1226.3
potato,6,1228.73
potato,7,1260.23
potato,8,1260.6
potato,9,1234.15
potato,10,1238.56
potato,11,1283.32
potato,12,1289.78
potato,13,1284.99
potato,14,1270.88
potato,15,1271.94
potato,16,1288.01
potato,17,1320.0
potato,18,1296.34
potato,19,1297.37
potato,20,1325.8
potato,21,1318.28
potato,22,1319.05
potato,23,1316.46
potato,24,1328.67
potato,25,1366.48
potato,26,1371.9
potato,27,1382.91
potato,28,1367.01
potato,29,1361.74
potato,30,1399.82
chili,1,8680.32
chili,2,8612.52
chili,3,8749.88
chili,4,8690.05
chili,5,8588.82
chili,6,8721.77
chili,7,8778.51
chili,8,8754.14
chili,9,8898.18
chili,10,9086.22
chili,11,8843.05
chili,12,9036.55
chili,13,8982.61
chili,14,9218.71
chili,15,9185.17
chili,16,9121.0
chili,17,9328.1
chili,18,9157.86
chili,19,9438.75
chili,20,9419.3
chili,21,9480.47
chili,22,9484.34
chili,23,9454.38
chili,24,9628.77
chili,25,9701.56
chili,26,9606.17
chili,27,9672.42
chili,28,9588.68
chili,29,9762.53
chili,30,9675.62
turmeric,1,7275.07
turmeric,2,7313.28
turmeric,3,7322.3
turmeric,4,7411.52
turmeric,5,7448.08
turmeric,6,7550.54
turmeric,7,7558.74
turmeric,8,7493.23
turmeric,9,7635.26
turmeric,10,7580.63
turmeric,11,7680.18
turmeric,12,7536.19
turmeric,13,7545.77
turmeric,14,7636.38
turmeric,15,7863.8
turmeric,16,7677.3
turmeric,17,7782.84
turmeric,18,7934.69
turmeric,19,7943.34
turmeric,20,7885.02
turmeric,21,8090.08
turmeric,22,7977.42
turmeric,23,8144.51
turmeric,24,8164.86
turmeric,25,8044.5
turmeric,26,8102.85
turmeric,27,8227.2
turmeric,28,8086.16
turmeric,29,8322.58
turmeric,30,8323.02
garlic,1,6638.07
garlic,2,6620.31
garlic,3,6613.47
garlic,4,6563.93
garlic,5,6541.24
garlic,6,6722.75
garlic,7,6798.36
garlic,8,6674.38
garlic,9,6891.05
garlic,10,6915.08
garlic,11,6914.58
garlic,12,6787.3
garlic,13,7011.41
garlic,14,6840.14
garlic,15,6975.49
garlic,16,7051.2
garlic,17,7065.15
garlic,18,7080.41
garlic,19,7214.2
garlic,20,7077.93
garlic,21,7267.8
garlic,22,7085.81
garlic,23,7155.76
garlic,24,7340.37
garlic,25,7267.36
garlic,26,7234.95
garlic,27,7436.37
garlic,28,7498.49
garlic,29,7541.52
garlic,30,7383.19
ginger,1,4566.56
ginger,2,4509.6
ginger,3,4650.1
ginger,4,4631.07
ginger,5,4692.17
ginger,6,4688.17
ginger,7,4577.19
ginger,8,4722.54
ginger,9,4749.4
ginger,10,4760.08
ginger,11,4674.98
ginger,12,4816.5
ginger,13,4775.48
ginger,14,4787.76
ginger,15,4908.59
ginger,16,4791.11
ginger,17,4823.88
ginger,18,4821.64
ginger,19,4978.76
ginger,20,4860.82
ginger,21,5029.05
ginger,22,5016.47
ginger,23,4927.92
ginger,24,5001.21
ginger,25,5057.9
ginger,26,5127.84
ginger,27,5120.53
ginger,28,5205.86
ginger,29,5242.21
ginger,30,5156.32
chickpea,1,5396.55
chickpea,2,5451.07
chickpea,3,5513.47
chickpea,4,5548.15
chickpea,5,5540.49
chickpea,6,5469.49
chickpea,7,5432.79
chickpea,8,5504.51
chickpea,9,5650.45
chickpea,10,5667.67
chickpea,11,5729.48
chickpea,12,5734.16
chickpea,13,5647.23
chickpea,14,5711.89
chickpea,15,5803.11
chickpea,16,5826.89
chickpea,17,5787.79
chickpea,18,5810.74
chickpea,19,5764.66
chickpea,20,5896.53
chickpea,21,5958.63
chickpea,22,5833.66
chickpea,23,5881.97
chickpea,24,6028.02
chickpea,25,5918.41
chickpea,26,6117.26
chickpea,27,5948.8
chickpea,28,6100.86
chickpea,29,6082.94
chickpea,30,6066.57
lentil,1,6015.85
lentil,2,6165.93
lentil,3,6107.15
lentil,4,6156.02
lentil,5,6219.22
lentil,6,6278.79
lentil,7,6142.98
lentil,8,6339.83
lentil,9,6358.89
lentil,10,6391.38
lentil,11,6302.1
lentil,12,6386.16
lentil,13,6309.62
lentil,14,6427.38
lentil,15,6434.61
lentil,16,6455.08
lentil,17,6432.43
lentil,18,6628.8
lentil,19,6508.9
lentil,20,6573.41
lentil,21,6736.9
lentil,22,6555.38
lentil,23,6639.19
lentil,24,6776.17
lentil,25,6803.34
lentil,26,6680.03
lentil,27,6874.59
lentil,28,6741.19
lentil,29,6952.83
lentil,30,6878.38
moongdal,1,8688.93
moongdal,2,8503.31
moongdal,3,8637.48
moongdal,4,8672.69
moongdal,5,8720.4
moongdal,6,8783.09
moongdal,7,8740.54
moongdal,8,8805.72
moongdal,9,9068.17
moongdal,10,8846.51
moongdal,11,9191.79
moongdal,12,9137.83
moongdal,13,9093.57
moongdal,14,9149.14
moongdal,15,9168.3
moongdal,16,9282.95
moongdal,17,9366.31
moongdal,18,9180.34
moongdal,19,9519.02
moongdal,20,9321.66
moongdal,21,9387.89
moongdal,22,9625.4
moongdal,23,9691.51
moongdal,24,9559.85
moongdal,25,9606.68
moongdal,26,9774.39
moongdal,27,9767.52
moongdal,28,9920.87
moongdal,29,9802.23
moongdal,30,9711.23
groundnut,1,5900.51
groundnut,2,5827.88
groundnut,3,5980.81
groundnut,4,6071.99
groundnut,5,6027.06
groundnut,6,6003.54
groundnut,7,6038.7
groundnut,8,5970.05
groundnut,9,6134.04
groundnut,10,6084.18
groundnut,11,6224.97
groundnut,12,6130.68
groundnut,13,6119.59
groundnut,14,6203.63
groundnut,15,6346.98
groundnut,16,6430.01
groundnut,17,6370.72
groundnut,18,6461.54
groundnut,19,6325.16
groundnut,20,6547.07
groundnut,21,6510.32
groundnut,22,6380.87
groundnut,23,6478.95
groundnut,24,6538.7
groundnut,25,6508.83
groundnut,26,6684.96
groundnut,27,6684.15
groundnut,28,6759.09
groundnut,29,6712.65
groundnut,30,6782.18
sunflower,1,6530.45
sunflower,2,6394.54
sunflower,3,6578.04
sunflower,4,6489.97
sunflower,5,6436.3
sunflower,6,6496.36
sunflower,7,6719.52
sunflower,8,6694.06
sunflower,9,6714.69
sunflower,10,6824.65
sunflower,11,6813.42
sunflower,12,6889.11
sunflower,13,6854.62
sunflower,14,6894.33
sunflower,15,6785.36
sunflower,16,7034.48
sunflower,17,7065.69
sunflower,18,7070.83
sunflower,19,6915.69
sunflower,20,6944.04
sunflower,21,6978.0
sunflower,22,7125.28
sunflower,23,7209.44
sunflower,24,7164.44
sunflower,25,7206.17
sunflower,26,7150.97
sunflower,27,7320.75
sunflower,28,7246.07
sunflower,29,7220.0
sunflower,30,7431.1
jowar,1,3206.15
jowar,2,3208.57
jowar,3,3221.15
jowar,4,3222.01
jowar,5,3221.71
jowar,6,3261.74
jowar,7,3263.09
jowar,8,3336.26
jowar,9,3350.31
jowar,10,3278.74
jowar,11,3337.12
jowar,12,3425.9
jowar,13,3400.78
jowar,14,3417.32
jowar,15,3409.29
jowar,16,3468.13
jowar,17,3459.85
jowar,18,3492.65
jowar,19,3481.32
jowar,20,3494.03
jowar,21,3465.89
jowar,22,3568.58
jowar,23,3581.78
jowar,24,3534.05
jowar,25,3515.22
jowar,26,3621.96
jowar,27,3586.85
jowar,28,3587.47
jowar,29,3663.94
jowar,30,3719.75
bajra,1,2496.21
bajra,2,2543.04
bajra,3,2544.63
bajra,4,2583.03
bajra,5,2590.74
bajra,6,2532.94
bajra,7,2543.46
bajra,8,2627.12
bajra,9,2612.76
bajra,10,2604.72
bajra,11,2598.69
bajra,12,2632.13
bajra,13,2644.69
bajra,14,2722.2
bajra,15,2638.49
bajra,16,2735.57
bajra,17,2747.75
bajra,18,2719.61
bajra,19,2781.5
bajra,20,2765.55
bajra,21,2784.03
bajra,22,2785.17
bajra,23,2797.48
bajra,24,2813.52
bajra,25,2859.52
bajra,26,2795.72
bajra,27,2817.04
bajra,28,2888.66
bajra,29,2815.53
bajra,30,2918.13
barley,1,1890.77
barley,2,1843.39
barley,3,1875.13
barley,4,1916.29
barley,5,1867.67
barley,6,1894.13
barley,7,1908.95
barley,8,1889.65
barley,9,1900.61
barley,10,1962.06
barley,11,1966.3
barley,12,1961.81
barley,13,1977.33
barley,14,1983.55
barley,15,2023.53
barley,16,2018.44
barley,17,2005.65
barley,18,2032.3
barley,19,2013.99
barley,20,2068.59
barley,21,2059.7
barley,22,2025.29
barley,23,2061.59
barley,24,2047.35
barley,25,2049.6
barley,26,2088.82
barley,27,2065.17
barley,28,2129.6
barley,29,2140.25
barley,30,2122.86
cauliflower,1,1827.54
cauliflower,2,1849.49
cauliflower,3,1835.41
cauliflower,4,1858.69
cauliflower,5,1809.15
cauliflower,6,1827.8
cauliflower,7,1871.89
cauliflower,8,1846.78
cauliflower,9,1857.15
cauliflower,10,1910.29
cauliflower,11,1878.45
cauliflower,12,1915.61
cauliflower,13,1935.93
cauliflower,14,1920.84
cauliflower,15,1947.28
cauliflower,16,1915.34
cauliflower,17,1979.57
cauliflower,18,1954.27
cauliflower,19,2005.61
cauliflower,20,1968.91
cauliflower,21,1954.64
cauliflower,22,2009.3
cauliflower,23,2018.91
cauliflower,24,2007.19
cauliflower,25,1990.46
cauliflower,26,2005.46
cauliflower,27,2038.94
cauliflower,28,2045.35
cauliflower,29,2079.8
cauliflower,30,2070.87
brinjal,1,2222.86
brinjal,2,2195.95
brinjal,3,2248.67
brinjal,4,2213.22
brinjal,5,2221.7
brinjal,6,2289.63
brinjal,7,2272.48
brinjal,8,2245.03
brinjal,9,2337.32
brinjal,10,2289.33
brinjal,11,2319.57
brinjal,12,2367.89
brinjal,13,2339.47
brinjal,14,2362.39
brinjal,15,2326.19
brinjal,16,2358.36
brinjal,17,2420.13
brinjal,18,2412.9
brinjal,19,2450.63
brinjal,20,2428.28
brinjal,21,2456.54
brinjal,22,2406.33
brinjal,23,2448.13
brinjal,24,2471.55
brinjal,25,2481.35
brinjal,26,2479.93
brinjal,27,2514.91
brinjal,28,2486.88
brinjal,29,2533.14
brinjal,30,2552.42
